update,global_step,elapsed_s,train_return,eval_argmax,eval_sample,policy_loss,value_loss,entropy,approx_kl,lr
305,390400,96.8,0.1247,,,-0.12625,5e-05,0.3801,0.05926,0.0001764
306,391680,97.0,0.1041,,,-0.07673,0.00019,0.29936,0.01154,0.0001744
307,392960,97.2,0.1056,,,0.01338,0.00023,0.31834,0.04803,0.0001723
308,394240,97.5,0.12,,,0.04245,9e-05,0.26561,0.02968,0.0001703
309,395520,97.7,0.1272,,,0.08122,4e-05,0.2175,0.0279,0.0001682
310,396800,97.9,0.1168,,,-0.07199,0.00011,0.27021,0.04368,0.0001662
311,398080,98.2,0.1269,,,-0.03966,7e-05,0.37321,0.14278,0.0001641
312,399360,98.7,-0.033,-0.044,0.0373,-0.19242,0.0008,0.37322,0.04414,0.0001621
313,400640,99.0,0.0483,,,-0.06893,0.00118,0.36438,0.02133,0.00016
314,401920,99.3,0.07,,,0.04991,0.00103,0.37895,0.02162,0.0001579
315,403200,99.5,0.0955,,,-0.03944,0.00026,0.30828,0.00647,0.0001559
316,404480,99.7,0.0994,,,0.07613,0.00023,0.28579,0.02274,0.0001538
